,Date,Base_Close,Comp_Close,Spread,Base_Instrument,Comp_Instrument
0,2010-05-24,84.69,83.64,1.0499999999999972,/CLN15,/CLF15
1,2010-05-25,82.98,81.93,1.0499999999999972,/CLN15,/CLF15
2,2010-05-26,84.41,83.45,0.9599999999999937,/CLN15,/CLF15
3,2010-05-27,87.25,86.36,0.8900000000000006,/CLN15,/CLF15
4,2010-05-28,87.14,86.28,0.8599999999999994,/CLN15,/CLF15
5,2010-06-01,86.47,85.67,0.7999999999999972,/CLN15,/CLF15
6,2010-06-02,87.91,87.12,0.789999999999992,/CLN15,/CLF15
7,2010-06-03,88.95,88.2,0.75,/CLN15,/CLF15
8,2010-06-04,86.45,85.63,0.8200000000000074,/CLN15,/CLF15
9,2010-06-07,87.65,86.79,0.8599999999999994,/CLN15,/CLF15
10,2010-06-08,87.67,86.78,0.8900000000000006,/CLN15,/CLF15
11,2010-06-09,88.27,87.49,0.7800000000000011,/CLN15,/CLF15
12,2010-06-10,88.88,88.17,0.7099999999999937,/CLN15,/CLF15
13,2010-06-11,88.73,87.99,0.7400000000000091,/CLN15,/CLF15
14,2010-06-14,88.67,87.97,0.7000000000000028,/CLN15,/CLF15
15,2010-06-15,88.93,88.3,0.6300000000000097,/CLN15,/CLF15
16,2010-06-16,89.37,88.7,0.6700000000000017,/CLN15,/CLF15
17,2010-06-17,89.16,88.5,0.6599999999999966,/CLN15,/CLF15
18,2010-06-18,88.89,88.24,0.6500000000000057,/CLN15,/CLF15
19,2010-06-21,88.91,88.28,0.6299999999999955,/CLN15,/CLF15
20,2010-06-22,88.7,88.04,0.6599999999999966,/CLN15,/CLF15
21,2010-06-23,87.3,86.58,0.7199999999999989,/CLN15,/CLF15
22,2010-06-24,86.59,85.87,0.7199999999999989,/CLN15,/CLF15
23,2010-06-25,87.86,87.2,0.6599999999999966,/CLN15,/CLF15
24,2010-06-28,87.62,86.99,0.6300000000000097,/CLN15,/CLF15
25,2010-06-29,85.54,84.87,0.6700000000000017,/CLN15,/CLF15
26,2010-06-30,84.54,83.93,0.6099999999999994,/CLN15,/CLF15
27,2010-07-01,83.24,82.51,0.7299999999999898,/CLN15,/CLF15
28,2010-07-02,82.52,81.78,0.7399999999999949,/CLN15,/CLF15
29,2010-07-06,83.24,82.51,0.7299999999999898,/CLN15,/CLF15
30,2010-07-07,85.08,84.37,0.7099999999999937,/CLN15,/CLF15
31,2010-07-08,86.24,85.56,0.6799999999999926,/CLN15,/CLF15
32,2010-07-09,85.76,85.08,0.6800000000000068,/CLN15,/CLF15
33,2010-07-12,84.59,83.91,0.6800000000000068,/CLN15,/CLF15
34,2010-07-13,86.39,85.74,0.6500000000000057,/CLN15,/CLF15
35,2010-07-14,85.93,85.25,0.6800000000000068,/CLN15,/CLF15
36,2010-07-15,85.39,84.71000000000001,0.6799999999999926,/CLN15,/CLF15
37,2010-07-16,84.87,84.19,0.6800000000000068,/CLN15,/CLF15
38,2010-07-19,84.9,84.26,0.6400000000000006,/CLN15,/CLF15
39,2010-07-20,84.74,84.21000000000001,0.5299999999999869,/CLN15,/CLF15
40,2010-07-21,85.06,84.46000000000001,0.5999999999999943,/CLN15,/CLF15
41,2010-07-22,87.34,86.7,0.6400000000000006,/CLN15,/CLF15
42,2010-07-23,87.15,86.49,0.6600000000000108,/CLN15,/CLF15
43,2010-07-26,87.09,86.47,0.6200000000000045,/CLN15,/CLF15
44,2010-07-27,86.06,85.46000000000001,0.5999999999999943,/CLN15,/CLF15
45,2010-07-28,86.51,85.88,0.6300000000000097,/CLN15,/CLF15
46,2010-07-29,87.91,87.28,0.6299999999999955,/CLN15,/CLF15
47,2010-07-30,88.08,87.45,0.6299999999999955,/CLN15,/CLF15
48,2010-08-02,89.7,89.09,0.6099999999999994,/CLN15,/CLF15
49,2010-08-03,90.63,90.03,0.5999999999999943,/CLN15,/CLF15
50,2010-08-04,90.48,89.9,0.5799999999999983,/CLN15,/CLF15
51,2010-08-05,89.92,89.34,0.5799999999999983,/CLN15,/CLF15
52,2010-08-06,89.62,89.04,0.5799999999999983,/CLN15,/CLF15
53,2010-08-09,90.45,89.9,0.5499999999999972,/CLN15,/CLF15
54,2010-08-10,89.76,89.2,0.5600000000000023,/CLN15,/CLF15
55,2010-08-11,87.63,87.08,0.5499999999999972,/CLN15,/CLF15
